habitat,transect,distance,species,presence_absence
Forest,T1,0,Oak,1
Forest,T1,0,Maple,0
Forest,T1,0,Pine,1
Forest,T1,0,Birch,1
Forest,T1,5,Oak,1
Forest,T1,5,Maple,1
Forest,T1,5,Pine,0
Forest,T1,5,Birch,0
Forest,T1,10,Oak,0
Forest,T1,10,Maple,1
Forest,T1,10,Pine,1
Forest,T1,10,Birch,1
Forest,T1,15,Oak,1
Forest,T1,15,Maple,0
Forest,T1,15,Pine,1
Forest,T1,15,Birch,0
Forest,T1,20,Oak,0
Forest,T1,20,Maple,1
Forest,T1,20,Pine,0
Forest,T1,20,Birch,1
Forest,T2,0,Oak,1
Forest,T2,0,Maple,1
Forest,T2,0,Pine,1
Forest,T2,0,Birch,0
Forest,T2,0,Fern,1
Forest,T2,5,Oak,0
Forest,T2,5,Maple,1
Forest,T2,5,Pine,1
Forest,T2,5,Birch,1
Forest,T2,5,Fern,0
Forest,T2,10,Oak,1
Forest,T2,10,Maple,0
Forest,T2,10,Pine,0
Forest,T2,10,Birch,1
Forest,T2,10,Fern,1
Forest,T2,15,Oak,1
Forest,T2,15,Maple,1
Forest,T2,15,Pine,1
Forest,T2,15,Birch,0
Forest,T2,15,Fern,1
Forest,T2,20,Oak,0
Forest,T2,20,Maple,0
Forest,T2,20,Pine,1
Forest,T2,20,Birch,1
Forest,T2,20,Fern,0
Grassland,T3,0,Grass1,1
Grassland,T3,0,Grass2,1
Grassland,T3,0,Forb1,0
Grassland,T3,0,Forb2,1
Grassland,T3,5,Grass1,1
Grassland,T3,5,Grass2,0
Grassland,T3,5,Forb1,1
Grassland,T3,5,Forb2,0
Grassland,T3,10,Grass1,0
Grassland,T3,10,Grass2,1
Grassland,T3,10,Forb1,1
Grassland,T3,10,Forb2,1
Grassland,T3,15,Grass1,1
Grassland,T3,15,Grass2,1
Grassland,T3,15,Forb1,0
Grassland,T3,15,Forb2,1
Grassland,T3,20,Grass1,1
Grassland,T3,20,Grass2,0
Grassland,T3,20,Forb1,1
Grassland,T3,20,Forb2,0
Grassland,T4,0,Grass1,1
Grassland,T4,0,Grass2,0
Grassland,T4,0,Forb1,1
Grassland,T4,0,Forb2,0
Grassland,T4,0,Sedge,1
Grassland,T4,5,Grass1,1
Grassland,T4,5,Grass2,1
Grassland,T4,5,Forb1,0
Grassland,T4,5,Forb2,1
Grassland,T4,5,Sedge,0
Grassland,T4,10,Grass1,0
Grassland,T4,10,Grass2,1
Grassland,T4,10,Forb1,1
Grassland,T4,10,Forb2,0
Grassland,T4,10,Sedge,1
Grassland,T4,15,Grass1,1
Grassland,T4,15,Grass2,0
Grassland,T4,15,Forb1,1
Grassland,T4,15,Forb2,1
Grassland,T4,15,Sedge,0
Grassland,T4,20,Grass1,1
Grassland,T4,20,Grass2,1
Grassland,T4,20,Forb1,0
Grassland,T4,20,Forb2,1
Grassland,T4,20,Sedge,1
